sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,28.876435368165748,28.40906622978186,31.350940581501437,34.948238180871556,38.80413599904208,46.80146656367855,54.72937482799525,59.627516612869265,53.96461321452857,48.82443160426305,55.58493311304867,60.53411347511618,61.97545873718754,66.70539325569418
2,103.81318566370827,102.13295475854527,112.7092376127321,125.64182152794491,139.5040947273343,168.2551629300226,196.75665219194448,214.36587909399034,194.00727061644648,175.5278904212043,199.83245534977783,217.62517017970143,222.80692621673217,239.8114340130178
3,160.89019212763202,158.28616190331954,174.6773377402553,194.7203206958656,216.20414073391274,260.76268941374855,304.9344394082901,332.225306954412,300.67343415075965,272.0339986975093,309.7013344596919,337.27657251020213,345.3072838213554,371.6609546858902
4,210.2711487933112,206.8678808904155,228.28989131707664,254.48453373491685,282.56223977858497,340.7968474670334,398.52593892212417,434.1930109456127,392.9571316588169,355.52758474914793,404.7559053693036,440.7946278448795,451.29015197032817,485.73237976759884
5,6.30221315442698,6.200210954559079,6.842268016024424,7.627369638232687,8.468910141482974,10.214308465138819,11.944555537308544,13.013563300742964,11.777648138976966,10.6558157608687,12.131279092681549,13.21142590387138,13.525996069990681,14.558292998681997
6,83.50871461642008,82.15711441022394,90.66481775181964,101.06796117260727,112.2189590843046,135.34670277221335,158.2736818230918,172.4387793930897,156.06204252224555,141.19698200852812,160.74789900929633,175.0605967218651,179.22887056243547,192.90752399816304
7,113.44504951410231,111.60892554764573,123.16648371713576,137.298962296102,152.44738741598061,183.8660009089056,215.01187934306213,234.25490329070328,212.00740811937857,191.81349741491164,218.3730577839817,237.81659380463407,243.4791169844468,262.0613155421676
8,66.67938683488957,65.60017164867776,72.39333622792513,80.6999570116336,89.60371881379301,108.07057912972243,126.3771344648268,137.68757104335995,124.61120197313718,112.74186444505948,128.3527280975424,139.78101928620308,143.1092700577039,154.03129451959077
9,188.79276491512113,185.73712765427118,204.97096264161567,228.48992373735817,253.69960079899187,305.9857687413971,357.81805697680136,389.84187566226507,352.8180818182853,319.21181823362843,363.4116564679402,395.76916295048966,405.1926099152681,436.1166974707836
11,198.06359100294847,194.85790412740295,215.0362326140074,239.71011189839464,266.1577311654607,321.01145496738684,375.389010920972,408.9853859161784,370.1435078146084,334.8869806443999,381.2572887776224,415.2037375873333,425.0899307701546,457.53257142160476
13,1.8048302204107343,1.775618791289102,1.9594913388158017,2.1843290425135278,2.425329734611488,2.9251775759964613,3.4206863961694993,3.7268292494852178,3.3728873914171196,3.0516166046899555,3.4741603595759902,3.783493217660342,3.873579942488576,4.169209532869937
14,3.685064698698549,3.625421412013021,4.000848544320353,4.459917478042207,4.95198766435037,5.972566561012045,6.984286134666946,7.6093622270075665,6.88669112376014,6.230727132520036,7.09346815778484,7.725057535324605,7.908994731040635,8.512605062408614
15,16.295028266914997,16.03129095917773,17.691396339491778,19.721358324718803,21.897248913025017,26.41015800132196,30.88389195142605,33.647922823736224,30.45233549544363,27.551721082049234,31.366685144602112,34.159517184628015,34.97287110066328,37.64198228758949
16,397.3717812174912,390.94026345438,431.42371774353444,480.9265229341985,533.9879539821675,644.0400934147965,753.1369049898641,820.5407691058955,742.6129368935443,671.8783363027669,764.9103360014307,833.016547553065,852.8510571397333,917.9402026903349
17,135.26332777760283,133.07407193101557,146.85443331024092,163.70493573872307,181.7667762604631,219.22796327050565,256.36396154989274,279.3078931432981,252.78165648089131,228.7039591778424,260.3715774231319,283.5545845017281,290.30615041138964,312.4621636099121
