sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,6.909795379391111,6.169514921410893,5.692102360833522,5.804181814601615,5.92988170881131,5.481579270352819,5.092306174042426,5.3085213920451135,5.659102119819503,5.269689079761781,4.283627451722238,3.288510501620735,3.6490930779000683,3.524912741184753
2,24.841288804288038,22.17991901789681,20.463581175032616,20.866516128560196,21.318417697750604,19.70673316384545,18.30726402210684,19.084575704925463,20.344942565257657,18.944970314113792,15.39999678942525,11.822468629149677,13.118792966316729,12.672354332640328
3,38.49915309763101,34.374548949153855,31.714560012980776,32.33903061055973,33.03938991294496,30.541593196166406,28.372688950992753,29.577370468009928,31.53069330473544,29.361009338100057,23.86699171569416,18.32252075693454,20.33157067032569,19.639677852605292
4,50.31544211835222,44.924900649361106,41.4484989993282,42.264634204365485,43.17995012967559,39.91552127827275,37.08092967747729,38.65535608074942,41.208199305131046,38.37258866815117,31.192328754995284,23.94613019849975,26.57180444057374,25.667553561760087
5,1.5080463630356866,1.3464819185062402,1.2422877656962186,1.2667488391934332,1.294182541334929,1.1963416032553804,1.111383678326168,1.1585721340240636,1.2350855417940574,1.150097074475729,0.9348914757210645,0.7177095745215564,0.7964058618752934,0.769303799533097
6,19.98266486283704,17.841823421939008,16.461178312276278,16.785304576468924,17.148820241025074,15.852359652390675,14.726607962711128,15.351887873673366,16.365743828276532,15.239587430664407,12.387963328164,9.510151841514864,10.552932471265326,10.193811265080624
7,27.14608188140546,24.2377882454648,22.36220731302527,22.80252686840405,23.296356198123082,21.53513838575129,20.005825465981246,20.855256699417293,22.23256132562822,20.70269861759164,16.828819837518108,12.919365978783103,14.335964243021351,13.848104703998143
8,15.955602316492538,14.24619994758416,13.143793213487474,13.402599023787893,13.692856175138125,12.657668440506848,11.75878701548473,12.258055639779162,13.067591431371241,12.168386858317023,9.891444295954415,7.593591835434856,8.42622317594155,8.139474877422137
9,45.17591447977397,40.33599595476126,37.21469527593946,37.94746542908593,38.769285375863305,35.83830529484974,33.29325625321737,34.70686109408544,36.99894126529137,34.45297727807607,28.006153119872643,21.500125695494635,23.85759747786848,23.04571232592134
11,47.394315416318555,42.31672865786046,39.04215390747038,39.81090734978169,40.67308345006689,37.598175149080596,34.928149352853985,36.41117043773167,38.81580511628941,36.144819445314376,29.38141861312464,22.555907289026422,25.029144688325125,24.177391239251367
13,0.431874895865019,0.38560600827181096,0.3557668468258793,0.36277201843618084,0.37062849257779856,0.34260876720318756,0.31827848407591514,0.33179233211805087,0.3537042711823287,0.32936524131394657,0.2677345793993829,0.20553794323264402,0.22807501618936882,0.22031351718067665
14,0.8817931542857868,0.787322304679235,0.7263973272272587,0.7407003405065758,0.7567415255377776,0.6995314347062374,0.6498543701005436,0.677446663159731,0.722186003299674,0.6724910797804229,0.5466548797820105,0.41966308536065666,0.46567881084309015,0.4498315440572945
15,3.8992108821681386,3.4814691895237986,3.212064359239074,3.27531101153553,3.3462437046875833,3.0932657725546786,2.8735982122393797,2.9956088774814997,3.1934422594790983,2.9736957286368133,2.4172592468840035,1.855712829396939,2.0591902738292363,1.989115069907014
16,95.08644895914135,84.89936871749914,78.32964232456023,79.87197993008095,81.60174990425243,75.43261108143273,70.07578148357177,73.05114271526918,77.87552240341496,72.51676702436124,58.94746525533956,45.253552210328216,50.21556842823276,48.506709250719695
17,32.36694229610912,28.899312134751963,26.66301077541893,27.188014630599803,27.7768195081866,25.67687611477317,23.853438638855252,24.866236428136578,26.50843067021868,24.684337668203998,20.065416547854458,15.40407838466073,17.093123399542776,16.51143645049593
