sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
2,329.84542081681434,335.5422032666333,301.1077124138138,306.86611777710334,300.2541593174176,287.657783548456,297.0272381985836,275.6980221753035,244.00751361221234,291.15138211708387,270.4395410870729,276.95368242625165,291.54357091094886,326.5005755225137
3,511.1961679233194,520.027072200871,466.6652655068337,475.6037866576659,465.3355955711831,445.81411152871505,460.33444201686365,427.2781677337487,378.16405974505085,451.22786192870944,419.12854755615786,429.2241962438121,451.8356780745278,506.01221790618575
4,668.1510981646722,679.6909922131401,609.9573797053716,621.7197093215048,608.2450081003967,582.7126071038923,601.8237763039253,558.6869859565122,494.23894804340256,589.7202286888448,547.7688852331808,560.9631242311847,590.5145978020034,661.3191827018236
5,20.023944975252846,20.369862856286545,18.279677419725726,18.62927626970149,18.227590415236648,17.46291336560099,18.04507898184435,16.73973984980048,14.813025457550285,17.67500013198553,16.417641192875667,16.813096808413345,17.698808835667176,19.820952500692812
6,265.33226769089464,269.9145459909658,242.21495196430652,246.8460361428146,241.52864439157878,231.39576730991027,238.9326819078651,221.77517534940154,196.2829065328252,234.20606471082965,217.5451828517683,222.78524524448488,234.5215466205046,262.6414285342389
7,360.4475719120235,366.6734554806187,329.04393007342696,335.3350104472002,328.1117040173029,314.3468846383712,324.58564419389694,301.2831431267548,266.64671049804315,318.1646218561102,295.5311209558559,302.64964912778674,318.59319821521564,356.7935394692654
8,211.8670469087462,215.52145042987723,193.40164359084216,197.10278631529604,192.8536427856688,184.76308671837438,190.79014684504432,177.08586847075046,156.72644362801944,187.00703105852762,173.70378011527447,177.88782424681,187.25893459208396,209.71187848530283
9,599.8531182357007,610.2187581815418,547.601324368426,558.1036805971843,546.044460030727,523.1397990456578,540.1886914792368,501.41186775581224,443.77013654342966,529.4825901673399,491.81641404974107,503.66291260971525,530.1958175506354,593.7679881913358
11,629.3141215617915,640.1757258585618,574.5048840251214,585.4996145012524,573.1791120537019,548.8458819142925,566.6987171120378,526.0105866120232,465.53820758658014,555.4832741034044,515.9674690112167,528.3956997575307,556.2315251118614,622.925460181938
13,5.734465042298934,5.833514431068979,5.23485538930823,5.334942012975376,5.220024334400559,5.001035827630125,5.163927225222886,4.793110999804401,4.242159912144569,5.061773317134289,4.701690381885585,4.81494111274228,5.068591662826588,5.676331979575635
14,11.708511113298842,11.910748089307086,10.688418544732427,10.89277332531882,10.658136806169628,10.211010640730763,10.54359889872998,9.78647406419384,8.661553625204974,10.335023179931502,9.59981335338794,9.831046333455639,10.348944735948276,11.589816238375866
15,51.77399453042829,52.668268446930654,47.26323594170386,48.167437508527904,47.12933278770323,45.152180661371005,46.62285635052656,43.27737200594103,38.30061958151278,45.700553077313025,42.44952063007483,43.47201229698556,45.762112959529716,51.24913635285249
16,1262.6100539515517,1284.3976440435881,1152.5840138211468,1174.6962311409,1149.3196506178372,1101.0930262453496,1136.9820724047042,1055.3722901043611,934.0017811285854,1114.4571142492703,1035.1771932086988,1060.1117516706388,1115.9583181531414,1249.7652820731562
17,429.83112336923324,437.1943559551318,392.32734064834995,399.83511887802393,391.215772175701,374.804804250097,387.0120630455733,359.2211336150157,317.9294429981525,379.3555180916934,352.3690372876527,360.85663382481397,379.8665202446098,425.41372836337825
